Rok;Penzijní připojištění;Doplňkové penzijní spoření;Dlouhodobý investiční produkt
1995;4500
1996;11400
1997;18900
1998;23900
1999;29600
2000;36900
2002;58147
2003;76783
2004;93826
2005;112646
2006;136136
2007;162104
2008;186119
2009;200220
2010;216112
2011;232052
2012;246594
2013;280688;1265
2014;312102;4840
2015;339311;10141
2016;364985;18048
2017;383945;29943
2018;404350;42715
2019;427017;60098
2020;449373;78512
2021;465788;100921
2022;463866;120280
2023;429378;166116
2024;376462;228543;2400
2025;349049;310666;8000
